title, link, date
Petaka Kembang Api di Pantai Australia 'Meledak Sebelum Waktunya',https://news.detik.com/detiktv/d-3794700/petaka-kembang-api-di-pantai-australia-meledak-sebelum-waktunya,DETIKNEWS | Senin 01 Januari 2018| 23:24 WIB
Mobil Polisi Masuk Jurang di Sarangan| Pengemudi Luka Ringan,https://news.detik.com/berita-jawa-timur/d-3794697/mobil-polisi-masuk-jurang-di-sarangan-pengemudi-luka-ringan,DETIKNEWS | Senin 01 Januari 2018| 23:16 WIB
Jembatan Penangkaran Rusa Putus| Polisi akan Panggil Perhutani,https://news.detik.com/berita/d-3794699/jembatan-penangkaran-rusa-putus-polisi-akan-panggil-perhutani,DETIKNEWS | Senin 01 Januari 2018| 23:12 WIB
Kondisi Perairan Normal Saat Speedboat Maut di Tarakan Tabrak Pohon,https://news.detik.com/berita/d-3794694/kondisi-perairan-normal-saat-speedboat-maut-di-tarakan-tabrak-pohon,DETIKNEWS | Senin 01 Januari 2018| 22:31 WIB
Arus Balik di Tol Cikampek Padat| Contraflow Diberlakukan di Km 65,https://news.detik.com/berita/d-3794688/arus-balik-di-tol-cikampek-padat-contraflow-diberlakukan-di-km-65,DETIKNEWS | Senin 01 Januari 2018| 21:44 WIB
Kakorlantas Prediksi 170 Ribu Kendaraan Masuk Jakarta Malam Ini,https://news.detik.com/berita/d-3794687/kakorlantas-prediksi-170-ribu-kendaraan-masuk-jakarta-malam-ini,DETIKNEWS | Senin 01 Januari 2018| 21:32 WIB
9 Hari Operasi Lilin| Jumlah Kecelakaan di Jakarta Turun 23 Persen,https://news.detik.com/berita/d-3794686/9-hari-operasi-lilin-jumlah-kecelakaan-di-jakarta-turun-23-persen,DETIKNEWS | Senin 01 Januari 2018| 21:27 WIB
Pantau Arus Balik di Cikarang Utama| Kakorlantas: Cukup Padat,https://news.detik.com/berita/d-3794669/pantau-arus-balik-di-cikarang-utama-kakorlantas-cukup-padat,DETIKNEWS | Senin 01 Januari 2018| 21:22 WIB
Demokrat: Soal Kontrak Politik dengan Demiz Semua Sudah Tahu Kok,https://news.detik.com/berita/d-3794670/demokrat-soal-kontrak-politik-dengan-demiz-semua-sudah-tahu-kok,DETIKNEWS | Senin 01 Januari 2018| 21:20 WIB
Pengantin di Banjarnegara Ini Pakai Gaun dan Jas dari Limbah,https://news.detik.com/berita-jawa-tengah/d-3794668/pengantin-di-banjarnegara-ini-pakai-gaun-dan-jas-dari-limbah,DETIKNEWS | Senin 01 Januari 2018| 21:08 WIB
1 Korban Jembatan Penangkaran Rusa yang Putus Meninggal,https://news.detik.com/berita/d-3794661/1-korban-jembatan-penangkaran-rusa-yang-putus-meninggal,DETIKNEWS | Senin 01 Januari 2018| 20:38 WIB
Dalang Pembunuhan Sopir Taksi Online di Sukabumi Seorang Mahasiswa,https://news.detik.com/berita-jawa-barat/d-3794655/dalang-pembunuhan-sopir-taksi-online-di-sukabumi-seorang-mahasiswa,DETIKNEWS | Senin 01 Januari 2018| 20:37 WIB
Video: Speedboat Terbalik di Tanjung Selor| 8 Orang Tewas,https://news.detik.com/detiktv/d-3794660/video-speedboat-terbalik-di-tanjung-selor-8-orang-tewas,DETIKNEWS | Senin 01 Januari 2018| 20:37 WIB
Tahun Baru| Anies Sapa Lansia Panti Werdha di Cipayung,https://news.detik.com/berita/d-3794659/tahun-baru-anies-sapa-lansia-panti-werdha-di-cipayung,DETIKNEWS | Senin 01 Januari 2018| 20:32 WIB
Cegah Kepadatan| Jasa Marga Siap Operasikan 31 Gate Tol Cikarut,https://news.detik.com/berita/d-3794658/cegah-kepadatan-jasa-marga-siap-operasikan-31-gate-tol-cikarut,DETIKNEWS | Senin 01 Januari 2018| 20:31 WIB
Cuaca Buruk| Ratusan Wisatawan Terdampar di Kepulaun Seribu,https://news.detik.com/detiktv/d-3794657/cuaca-buruk-ratusan-wisatawan-terdampar-di-kepulaun-seribu,DETIKNEWS | Senin 01 Januari 2018| 20:31 WIB
Kemenhub akan Panggil Pakar untuk Diskusi soal Penataan Tanah Abang,https://news.detik.com/berita/d-3794653/kemenhub-akan-panggil-pakar-untuk-diskusi-soal-penataan-tanah-abang,DETIKNEWS | Senin 01 Januari 2018| 20:17 WIB
Awali Tahun 2018| Ini yang Dilakukan Bupati Banyuwangi,https://news.detik.com/berita-jawa-timur/d-3794654/awali-tahun-2018-ini-yang-dilakukan-bupati-banyuwangi,DETIKNEWS | Senin 01 Januari 2018| 20:16 WIB
Cucu Keempat SBY Diberi Nama Gayatri Idalia Yudhoyono| Apa Maknanya?,https://news.detik.com/berita/d-3794651/cucu-keempat-sby-diberi-nama-gayatri-idalia-yudhoyono-apa-maknanya,DETIKNEWS | Senin 01 Januari 2018| 20:09 WIB
Lucunya! Macan Tutul Buka Kado Tahun Baru di Ragunan,https://news.detik.com/detiktv/d-3794629/lucunya-macan-tutul-buka-kado-tahun-baru-di-ragunan,DETIKNEWS | Senin 01 Januari 2018| 20:08 WIB
Respons Demiz Soal Kontrak Politik yang Diungkap PKS,https://news.detik.com/berita-jawa-barat/d-3794622/respons-demiz-soal-kontrak-politik-yang-diungkap-pks,DETIKNEWS | Senin 01 Januari 2018| 19:50 WIB
Pesta Kembang Api Spektakuler| SBY Dikaruniai Cucu Keempat,https://news.detik.com/berita/d-3794623/pesta-kembang-api-spektakuler-sby-dikaruniai-cucu-keempat,DETIKNEWS | Senin 01 Januari 2018| 19:45 WIB
Ini yang Diduga Jadi Penyebab Mobil Terbakar di Parkiran Merapi Park,https://news.detik.com/berita-jawa-tengah/d-3794603/ini-yang-diduga-jadi-penyebab-mobil-terbakar-di-parkiran-merapi-park,DETIKNEWS | Senin 01 Januari 2018| 19:21 WIB
Jembatan Penangkaran Rusa Cariu Putus| Polisi: Tak Ada Korban Tewas,https://news.detik.com/berita/d-3794601/jembatan-penangkaran-rusa-cariu-putus-polisi-tak-ada-korban-tewas,DETIKNEWS | Senin 01 Januari 2018| 19:16 WIB
Polisi Bantah Tahan Santri Terkait Bom Molotov di Polsek Bontoala,https://news.detik.com/berita/d-3794598/polisi-bantah-tahan-santri-terkait-bom-molotov-di-polsek-bontoala,DETIKNEWS | Senin 01 Januari 2018| 19:12 WIB
Ini Jembatan Bambu Penangkaran Rusa yang Putus dan Bikin 30 Orang Luka,https://news.detik.com/foto-news/d-3794591/ini-jembatan-bambu-penangkaran-rusa-yang-putus-dan-bikin-30-orang-luka,DETIKPHOTO | Senin 01 Januari 2018| 19:11 WIB
19.500 Penumpang Padati Stasiun Senen Hari Ini,https://news.detik.com/berita/d-3794597/19500-penumpang-padati-stasiun-senen-hari-ini,DETIKNEWS | Senin 01 Januari 2018| 19:06 WIB
Bendumnya Absen| Partai Berkarya Belum Lolos Verifikasi Faktual KPU,https://news.detik.com/berita/d-3794579/bendumnya-absen-partai-berkarya-belum-lolos-verifikasi-faktual-kpu,DETIKNEWS | Senin 01 Januari 2018| 19:03 WIB
Puting Beliung Terjang Pemalang| Puluhan Orang Mengungsi,https://news.detik.com/berita-jawa-tengah/d-3794567/puting-beliung-terjang-pemalang-puluhan-orang-mengungsi,DETIKNEWS | Senin 01 Januari 2018| 19:02 WIB
Olah TKP di Polsek Bontoala Selesai| Polisi Kantongi Sejumlah Bukti,https://news.detik.com/berita/d-3794568/olah-tkp-di-polsek-bontoala-selesai-polisi-kantongi-sejumlah-bukti,DETIKNEWS | Senin 01 Januari 2018| 18:59 WIB
KPK Alihkan Jadwal Kunjungan Tahun Baru ke Rutan Jadi Hari Selasa,https://news.detik.com/berita/d-3794578/kpk-alihkan-jadwal-kunjungan-tahun-baru-ke-rutan-jadi-hari-selasa,DETIKNEWS | Senin 01 Januari 2018| 18:58 WIB
Jembatan di Penangkaran Rusa Cariu Putus Diduga Akibat Overload,https://news.detik.com/berita/d-3794565/jembatan-di-penangkaran-rusa-cariu-putus-diduga-akibat-overload,DETIKNEWS | Senin 01 Januari 2018| 18:52 WIB
Jasad Habsi Korban Kapal Terbalik di Tarakan Tiba di Rumah Duka,https://news.detik.com/berita/d-3794564/jasad-habsi-korban-kapal-terbalik-di-tarakan-tiba-di-rumah-duka,DETIKNEWS | Senin 01 Januari 2018| 18:49 WIB
Polisi Usut Penyebab Putusnya Jembatan di Penangkaran Rusa Cariu,https://news.detik.com/berita/d-3794550/polisi-usut-penyebab-putusnya-jembatan-di-penangkaran-rusa-cariu,DETIKNEWS | Senin 01 Januari 2018| 18:45 WIB
Jembatan Bambu yang Putus Merupakan Akses ke Penangkaran Rusa Cariu,https://news.detik.com/berita/d-3794548/jembatan-bambu-yang-putus-merupakan-akses-ke-penangkaran-rusa-cariu,DETIKNEWS | Senin 01 Januari 2018| 18:41 WIB
'Frank Sinatra' Hangatkan Malam Tahun Baru di New York,https://news.detik.com/detiktv/d-3794547/frank-sinatra-hangatkan-malam-tahun-baru-di-new-york,DETIKNEWS | Senin 01 Januari 2018| 18:40 WIB
Jembatan Gantung yang Putus di Bogor Terbuat dari Bambu,https://news.detik.com/berita/d-3794546/jembatan-gantung-yang-putus-di-bogor-terbuat-dari-bambu,DETIKNEWS | Senin 01 Januari 2018| 18:37 WIB
Jembatan di Penangkaran Rusa Cariu Bogor Putus| 30 Orang Luka,https://news.detik.com/berita/d-3794532/jembatan-di-penangkaran-rusa-cariu-bogor-putus-30-orang-luka,DETIKNEWS | Senin 01 Januari 2018| 18:29 WIB
Bareskrim-Polda Metro akan Koordinasi soal Posting Ade Armando,https://news.detik.com/berita/d-3794545/bareskrim-polda-metro-akan-koordinasi-soal-posting-ade-armando,DETIKNEWS | Senin 01 Januari 2018| 18:26 WIB
Kecelakaan Beruntun di Tulungagung| Jasa Raharja Beri Santunan,https://news.detik.com/berita-jawa-timur/d-3794522/kecelakaan-beruntun-di-tulungagung-jasa-raharja-beri-santunan,DETIKNEWS | Senin 01 Januari 2018| 18:21 WIB
