title, link, date
Zulkifli Hasan: Janji Kemerdekaan itu Senasib Sepenanggungan,https://news.detik.com/berita/d-3783504/zulkifli-hasan-janji-kemerdekaan-itu-senasib-sepenanggungan,DETIKNEWS | Sabtu 23 Desember 2017| 22:57 WIB
Gempa 5|4 SR Guncang Jayapura,https://news.detik.com/berita/d-3783460/gempa-54-sr-guncang-jayapura,DETIKNEWS | Sabtu 23 Desember 2017| 22:20 WIB
Sandiaga Kaget Kakaknya Indra Uno Ingin Maju Pilbup Kuningan,https://news.detik.com/berita/d-3783441/sandiaga-kaget-kakaknya-indra-uno-ingin-maju-pilbup-kuningan,DETIKNEWS | Sabtu 23 Desember 2017| 22:00 WIB
Penampakan Teranyar Big Ben| Ikon London yang Masih Direnovasi,https://news.detik.com/foto-news/d-3783433/penampakan-teranyar-big-ben-ikon-london-yang-masih-direnovasi,DETIKPHOTO | Sabtu 23 Desember 2017| 21:59 WIB
Ini 3 Titik Kemacetan di Tol Jakarta Arah Cikampek Malam Ini,https://news.detik.com/berita/d-3783440/ini-3-titik-kemacetan-di-tol-jakarta-arah-cikampek-malam-ini,DETIKNEWS | Sabtu 23 Desember 2017| 21:58 WIB
PKL Bubar| Lalin Depan Stasiun Tanah Abang Lancar,https://news.detik.com/detiktv/d-3783408/pkl-bubar-lalin-depan-stasiun-tanah-abang-lancar,DETIKNEWS | Sabtu 23 Desember 2017| 21:35 WIB
Video: Gereja Katedral Bersolek Jelang Natal| 106 Polisi Disiagakan,https://news.detik.com/detiktv/d-3783407/video-gereja-katedral-bersolek-jelang-natal-106-polisi-disiagakan,DETIKNEWS | Sabtu 23 Desember 2017| 21:34 WIB
Stasiun Senen Ramai| Penumpang Tak Terganggu Info Benda Mencurigakan,https://news.detik.com/detiktv/d-3783406/stasiun-senen-ramai-penumpang-tak-terganggu-info-benda-mencurigakan,DETIKNEWS | Sabtu 23 Desember 2017| 21:34 WIB
Libur Nataru| PT KAI Daop 6 Operasikan 6 KA Tambahan dan Priority,https://news.detik.com/berita-jawa-tengah/d-3783384/libur-nataru-pt-kai-daop-6-operasikan-6-ka-tambahan-dan-priority,DETIKNEWS | Sabtu 23 Desember 2017| 21:19 WIB
Kontrakan di Kemayoran Terbakar Gara-gara Korsleting Kipas Angin,https://news.detik.com/berita/d-3783383/kontrakan-di-kemayoran-terbakar-gara-gara-korsleting-kipas-angin,DETIKNEWS | Sabtu 23 Desember 2017| 21:11 WIB
Sandiaga: Enjoy Jakarta Masih Cocok Nggak?,https://news.detik.com/berita/d-3783380/sandiaga-enjoy-jakarta-masih-cocok-nggak,DETIKNEWS | Sabtu 23 Desember 2017| 21:03 WIB
Foto: Kobaran Api yang Membakar Kebun Binatang London,https://news.detik.com/foto-news/d-3783372/foto-kobaran-api-yang-membakar-kebun-binatang-london,DETIKPHOTO | Sabtu 23 Desember 2017| 20:59 WIB
