title, link, date
Admin @setkabgoid Diganti karena Salah Kutip Pernyataan Jokowi,https://news.detik.com/berita/d-3747362/admin-setkabgoid-diganti-karena-salah-kutip-pernyataan-jokowi,DETIKNEWS | Selasa 28 November 2017| 23:39 WIB
Sisir Zona Rawan Gunung Agung| TNI Temukan Warga yang Bertahan,https://news.detik.com/berita/d-3747353/sisir-zona-rawan-gunung-agung-tni-temukan-warga-yang-bertahan,DETIKNEWS | Selasa 28 November 2017| 23:35 WIB
Airlangga Jadi Caketum Golkar| Seskab: Presiden Tak akan Intervensi,https://news.detik.com/berita/d-3747364/airlangga-jadi-caketum-golkar-seskab-presiden-tak-akan-intervensi,DETIKNEWS | Selasa 28 November 2017| 23:32 WIB
Ahmad Dhani Jadi Tersangka| Pengacara: Harusnya Dapat Perlindungan,https://news.detik.com/berita/d-3747352/ahmad-dhani-jadi-tersangka-pengacara-harusnya-dapat-perlindungan,DETIKNEWS | Selasa 28 November 2017| 23:30 WIB
Sandiaga Tugaskan Kepala BPKD DKI Atur Pertemuan dengan BPK,https://news.detik.com/berita/d-3747341/sandiaga-tugaskan-kepala-bpkd-dki-atur-pertemuan-dengan-bpk,DETIKNEWS | Selasa 28 November 2017| 23:15 WIB
Basarnas 'Angkut' 52 Warga Gunung Agung yang Ogah Dievakuasi,https://news.detik.com/berita/d-3747340/basarnas-angkut-52-warga-gunung-agung-yang-ogah-dievakuasi,DETIKNEWS | Selasa 28 November 2017| 23:07 WIB
Tim Gubernur Anies Resmi 73 Orang| Siapa Saja Anggotanya?,https://news.detik.com/berita/d-3747337/tim-gubernur-anies-resmi-73-orang-siapa-saja-anggotanya,DETIKNEWS | Selasa 28 November 2017| 23:04 WIB
Diterjang Banjir| Ratusan Warga di Gunungkidul Mengungsi,https://news.detik.com/berita-jawa-tengah/d-3747327/diterjang-banjir-ratusan-warga-di-gunungkidul-mengungsi,DETIKNEWS | Selasa 28 November 2017| 22:40 WIB
Rapat Banggar Usai| RAPBD DKI 2018 Ditetapkan Rp 77|117 Triliun,https://news.detik.com/berita/d-3747324/rapat-banggar-usai-rapbd-dki-2018-ditetapkan-rp-77117-triliun,DETIKNEWS | Selasa 28 November 2017| 22:34 WIB
KPK akan Panggil Anak Setya Novanto Rheza dan Dwina,https://news.detik.com/berita/d-3747325/kpk-akan-panggil-anak-setya-novanto-rheza-dan-dwina,DETIKNEWS | Selasa 28 November 2017| 22:32 WIB
Cek Kesehatan di RSCM| Novanto Diperiksa Saraf dan Gula,https://news.detik.com/berita/d-3747323/cek-kesehatan-di-rscm-novanto-diperiksa-saraf-dan-gula,DETIKNEWS | Selasa 28 November 2017| 22:26 WIB
Basarnas Siapkan Baju Tahan Api untuk Evakuasi Pengungsi Gunung Agung,https://news.detik.com/berita/d-3747318/basarnas-siapkan-baju-tahan-api-untuk-evakuasi-pengungsi-gunung-agung,DETIKNEWS | Selasa 28 November 2017| 22:18 WIB
Jokowi: Dulu Undang-Undang Kita Banyak Pakai Sponsor| Titipan,https://news.detik.com/berita/d-3747319/jokowi-dulu-undang-undang-kita-banyak-pakai-sponsor-titipan,DETIKNEWS | Selasa 28 November 2017| 22:17 WIB
Kodam Udayana Siaga Penuh Bantu Evakuasi Pengungsi Gunung Agung,https://news.detik.com/berita/d-3747312/kodam-udayana-siaga-penuh-bantu-evakuasi-pengungsi-gunung-agung,DETIKNEWS | Selasa 28 November 2017| 22:11 WIB
Soal Temuan Ombudsman| Kasatpol PP DKI: Kami Tak Alergi Kritik,https://news.detik.com/berita/d-3747310/soal-temuan-ombudsman-kasatpol-pp-dki-kami-tak-alergi-kritik,DETIKNEWS | Selasa 28 November 2017| 22:08 WIB
Kasatpol PP DKI Belum Lihat Video Ombudsman Soal Atur Lapak,https://news.detik.com/berita/d-3747317/kasatpol-pp-dki-belum-lihat-video-ombudsman-soal-atur-lapak,DETIKNEWS | Selasa 28 November 2017| 22:07 WIB
